Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary,RMIT Building 14,380 Elizabeth St,La Trobe St (North)
01/09/2019,0,357,168,922,1023,671,503,9,40,29,21,11,41,-1,213,353,157,39,41,321,3,504,745,87,354,-1,184,28,549,64,956,194,undefined,41,53,362,410,73,undefined,54,53,22,18,9,411,16,341,46,96,70,41,444,32,-1,139,40,218,4,839,109,undefined,undefined
01/09/2019,1,155,106,639,524,430,251,12,13,17,17,4,25,-1,151,192,116,23,21,223,-1,567,596,60,182,-1,122,27,372,47,596,101,undefined,10,26,202,354,31,undefined,21,38,7,17,12,238,11,217,21,106,33,34,266,26,-1,107,18,169,7,540,71,undefined,undefined
01/09/2019,2,113,85,346,170,207,201,6,7,22,9,2,7,-1,131,116,57,23,26,141,-1,394,397,26,119,-1,92,16,212,26,402,70,undefined,13,11,122,274,16,undefined,14,28,11,8,7,151,14,139,23,63,14,22,229,15,-1,64,14,130,3,276,27,undefined,undefined
01/09/2019,3,61,74,335,146,190,131,4,6,14,10,2,12,-1,85,102,43,14,13,121,-1,417,316,53,92,-1,113,12,225,22,495,20,undefined,7,19,46,244,10,undefined,9,19,12,5,3,113,7,138,18,32,7,11,213,18,-1,45,6,76,6,184,61,undefined,undefined
01/09/2019,4,37,59,152,102,160,85,6,4,9,6,1,9,-1,78,52,14,9,10,80,-1,216,243,48,71,-1,87,5,145,22,243,16,undefined,4,10,26,79,8,undefined,13,16,8,1,1,86,2,100,11,27,5,40,90,9,-1,45,9,67,4,140,15,undefined,undefined
01/09/2019,5,61,19,106,87,196,114,11,10,13,8,2,11,-1,85,62,41,19,15,44,-1,181,200,26,75,-1,51,17,244,16,234,19,undefined,10,17,45,24,6,undefined,8,12,7,1,-1,71,-1,66,20,32,3,85,84,8,-1,29,12,46,5,140,22,undefined,undefined
01/09/2019,6,43,30,123,98,231,117,32,24,32,8,3,15,-1,70,42,36,35,12,21,-1,147,224,40,182,-1,85,20,320,49,153,29,undefined,13,26,106,16,-1,undefined,10,11,3,2,2,90,6,93,40,34,10,16,37,4,-1,29,11,80,1,142,40,undefined,undefined
01/09/2019,7,88,69,121,149,344,177,72,57,39,18,22,80,-1,93,71,65,51,27,28,-1,100,362,51,343,-1,162,33,488,101,90,43,undefined,20,28,228,46,16,undefined,25,22,18,14,8,96,6,159,86,91,33,29,53,20,-1,45,31,155,22,266,60,undefined,undefined
01/09/2019,8,212,139,240,312,698,346,135,96,74,37,39,108,-1,189,143,144,115,39,135,-1,113,736,93,524,-1,335,99,827,146,175,69,undefined,49,57,476,80,33,undefined,76,48,37,33,26,202,34,262,135,125,76,61,135,37,-1,107,78,258,40,488,131,undefined,undefined
01/09/2019,9,602,383,448,760,1192,610,177,135,89,69,37,166,-1,276,285,378,133,65,106,-1,236,1087,179,821,-1,683,166,1353,277,270,144,undefined,58,104,764,119,82,undefined,106,102,77,90,61,414,87,633,285,210,202,148,243,74,-1,236,80,497,87,948,276,undefined,undefined
