"Daily Weather Observations for Melbourne (Olympic Park), Victoria for September 2021"
"Prepared at 13:01 UTC on Thursday 11 August 2022   IDCJDW3033.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,9.8,23.5,0,,,N,35,15:01,15.3,56,,NE,7,1023.8,23.2,36,,N,19,1021.5
,2021-09-2,15.0,26.6,0,,,N,65,12:18,21.8,34,,NNE,17,1020.1,26.4,23,,N,28,1013.6
,2021-09-3,20.1,23.0,0,,,N,57,09:29,21.7,46,,N,35,1012.3,17.1,86,,NNW,9,1012.2
,2021-09-4,10.1,14.1,38.2,,,S,43,22:51,11.7,87,,S,9,1019.6,13.2,59,,S,17,1018.8
,2021-09-5,8.3,13.6,9.6,,,SSW,39,04:42,10.0,88,,WSW,9,1022.4,12.4,72,,S,13,1022.2
,2021-09-6,9.1,15.5,1.0,,,SSW,33,03:58,11.9,67,,SW,9,1030.9,14.8,51,,S,9,1030.1
,2021-09-7,10.5,16.2,0,,,S,31,15:41,13.0,73,,WSW,13,1030.6,13.3,80,,S,15,1030.4
,2021-09-8,9.7,20.8,0,,,NNW,41,17:10,12.4,63,,N,11,1031.0,19.9,48,,N,20,1025.8
,2021-09-9,12.2,25.8,0,,,N,52,08:13,14.6,58,,N,28,1022.7,24.7,26,,NNW,20,1016.2
,2021-09-10,11.4,18.8,0,,,N,39,22:01,13.3,62,,WNW,6,1023.3,17.2,48,,N,13,1019.2
,2021-09-11,13.2,22.8,0,,,N,46,06:44,16.7,41,,N,20,1006.0,22.6,33,,WNW,15,1002.9
,2021-09-12,10.3,16.2,0,,,WSW,39,02:11,12.4,51,,NW,17,1005.9,11.7,62,,S,11,1005.6
,2021-09-13,7.1,14.3,5.6,,,S,37,09:59,12.2,70,,S,6,1019.3,13.1,59,,SSW,19,1021.4
,2021-09-14,5.5,14.1,0.2,,,SSW,31,14:41,11.1,74,,N,2,1027.8,13.4,57,,SSW,17,1025.8
,2021-09-15,5.3,15.9,0.2,,,SSE,31,10:40,10.7,69,,ESE,6,1027.6,14.4,48,,SSW,17,1024.5
,2021-09-16,4.5,16.0,0,,,SSW,19,13:07,9.6,72,, ,Calm,1024.6,14.0,65,,S,9,1020.6
,2021-09-17,7.1,22.2,0,,,N,59,11:41,15.9,50,,N,13,1015.1,20.2,39,,NNE,24,1008.2
,2021-09-18,12.1,16.2,0.8,,,W,50,13:24,14.1,50,,WNW,15,1012.9,15.7,39,,WNW,19,1014.0
,2021-09-19,8.7,18.0,0.8,,,NNW,54,15:41,10.7,68,,N,22,1017.4,17.0,46,,NNW,24,1012.9
,2021-09-20,10.7,13.8,0.4,,,W,50,13:35,12.4,51,,WNW,17,1011.9,10.3,62,,WNW,17,1011.7
,2021-09-21,6.3,13.2,8.0,,,SSW,43,12:05,7.9,84,,W,11,1025.2,12.3,54,,S,11,1026.4
,2021-09-22,7.9,17.8,0.2,,,W,26,00:07,12.5,79,,SW,7,1026.7,16.4,63,,SSW,13,1023.6
,2021-09-23,10.0,21.5,0,,,NNW,35,16:27,12.7,80,,WNW,6,1020.2,19.9,42,,S,7,1014.5
,2021-09-24,11.0,18.8,0,,,NW,50,10:32,16.1,51,,NNW,13,1009.0,17.3,40,,WNW,17,1007.7
,2021-09-25,7.1,12.8,0,,,S,37,15:01,9.6,65,,WSW,11,1020.7,11.0,55,,SSW,17,1022.7
,2021-09-26,5.0,15.4,0.2,,,SSW,31,14:48,11.8,57,,SE,7,1028.2,14.1,52,,SSW,17,1024.8
,2021-09-27,5.1,19.4,0,,,N,43,09:17,13.1,55,,NNE,9,1023.1,18.5,36,,N,15,1018.2
,2021-09-28,7.7,23.0,0,,,SE,24,17:56,14.0,52,,NNE,11,1018.2,22.2,31,,NNE,9,1014.0
,2021-09-29,12.6,19.3,0,,,SE,33,17:37,13.7,77,, ,Calm,1015.2,18.7,60,,S,7,1011.1
,2021-09-30,13.1,18.1,3.4,,,NNW,24,19:50,15.9,93,, ,Calm,1008.5,15.2,100,, ,Calm,1004.5
