"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2021"
"Prepared at 13:01 UTC on Tuesday  9 August 2022   IDCJDW3033.202111"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-11-1,8.7,23.2,0,,,SSW,26,15:16,14.7,67,,ENE,6,1024.6,20.2,52,,SW,13,1022.3
,2021-11-2,11.1,29.7,0,,,NNW,43,13:53,16.5,70,,NNE,9,1023.1,28.5,32,,N,24,1018.4
,2021-11-3,16.5,25.1,0,,,NNW,52,09:39,23.8,42,,N,20,1015.3,19.0,88,,NNE,11,1016.8
,2021-11-4,13.5,17.5,45.4,,,SSW,39,15:24,14.9,73,,SSE,9,1025.8,17.4,72,,SSW,19,1025.0
,2021-11-5,13.3,22.9,0,,,SSW,24,14:09,17.2,79,, ,Calm,1021.7,21.5,70,,SSW,9,1016.1
,2021-11-6,16.6,27.0,0,,,N,43,07:44,21.3,69,,N,22,1009.4,25.6,55,,NNW,24,1004.5
,2021-11-7,12.9,16.5,15.4,,,SSW,28,02:22,13.7,83,,SSE,9,1010.7,15.4,65,,SSW,13,1009.9
,2021-11-8,12.0,17.4,0.2,,,SSE,28,10:53,13.2,69,,SSE,9,1012.5,16.5,41,,SSW,13,1012.7
,2021-11-9,8.0,20.3,0,,,SSW,22,12:23,14.2,63,,NNE,6,1013.4,19.2,41,,SSW,11,1011.7
,2021-11-10,11.7,15.2,10.0,,,SSW,26,06:04,11.9,98,,S,7,1011.4,13.6,67,,SW,7,1010.0
,2021-11-11,8.7,16.4,10.0,,,SSW,39,13:35,12.1,78,,SW,7,1010.4,15.6,49,,S,19,1005.9
,2021-11-12,11.0,14.0,1.0,,,SSE,50,14:35,12.0,83,,SSE,15,997.4,13.0,91,,SSE,19,997.2
,2021-11-13,10.3,14.6,10.4,,,SSW,46,12:13,12.2,86,,S,15,1004.2,12.3,70,,SW,13,1006.5
,2021-11-14,7.6,15.3,1.6,,,NW,46,12:56,11.9,62,,NNW,22,1004.3,11.8,69,,WSW,13,1002.5
,2021-11-15,8.7,13.8,1.6,,,WNW,41,00:31,11.6,60,,WSW,9,1009.3,12.4,57,,S,13,1011.6
,2021-11-16,8.2,15.0,0.2,,,SSW,28,09:13,11.0,70,,WSW,6,1019.4,13.8,60,,S,13,1020.8
,2021-11-17,10.1,19.8,0,,,SSW,22,12:38,13.3,57,,SE,7,1023.7,16.5,51,,S,13,1020.7
,2021-11-18,10.9,26.9,0,,,N,67,15:02,19.7,41,,N,24,1013.2,24.9,36,,N,30,1006.4
,2021-11-19,13.1,17.3,0.2,,,S,31,00:46,15.5,60,,SSW,13,1014.3,16.0,59,,S,13,1013.0
,2021-11-20,13.0,16.9,0,,,SSW,35,13:30,14.6,63,,SSW,7,1015.2,15.8,45,,S,20,1015.4
,2021-11-21,11.8,17.2,0,,,SSW,39,15:00,14.2,60,,S,11,1020.4,16.9,59,,S,19,1020.2
,2021-11-22,10.2,20.8,0,,,SSW,24,16:02,15.8,65,,SE,7,1022.7,18.8,62,,SSW,13,1019.8
,2021-11-23,14.7,26.1,0,,,N,43,08:31,20.7,49,,N,24,1016.7,24.6,47,,N,17,1014.4
,2021-11-24,17.5,26.6,0,,,S,30,23:49,22.7,68,,N,15,1013.5,25.4,45,,SSW,13,1011.3
,2021-11-25,15.4,16.7,0,,,SSW,31,14:00,16.1,87,,S,7,1013.5,14.7,89,,S,13,1012.9
,2021-11-26,13.0,20.6,0.6,,,SE,50,10:56,15.9,91,,SSE,13,1016.2,19.6,50,,SE,24,1017.3
,2021-11-27,11.4,21.6,0,,,SSE,46,09:05,15.4,58,,SE,22,1023.8,20.7,39,,ESE,20,1021.3
,2021-11-28,9.8,22.1,0,,,SSW,30,17:05,15.5,59,,N,4,1024.3,20.1,47,,SSW,13,1020.1
,2021-11-29,10.1,28.7,0,,,NNW,26,10:10,16.7,63,,NE,7,1018.6,25.7,45,,SW,11,1014.8
,2021-11-30,14.4,31.6,0,,,N,31,09:41,22.0,50,,NNE,11,1015.0,30.6,23,,NNE,13,1011.2
