"Daily Weather Observations for Melbourne (Olympic Park), Victoria for December 2021"
"Prepared at 13:01 UTC on Monday  8 August 2022   IDCJDW3033.202112"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-12-1,18.5,32.4,0,,,WSW,43,15:17,23.3,48,,NNE,11,1012.4,30.5,34,,N,13,1010.6
,2021-12-2,18.4,33.0,11.8,,,S,41,19:11,25.6,43,,N,13,1013.7,23.3,70,,SW,9,1010.8
,2021-12-3,13.0,20.4,8.8,,,S,33,17:39,15.9,66,,SSW,9,1020.0,19.2,53,,SSW,13,1018.7
,2021-12-4,12.5,18.8,0,,,SSE,37,14:03,15.1,59,,WSW,9,1019.6,17.3,64,,S,19,1019.4
,2021-12-5,10.2,21.5,0,,,WSW,30,13:12,14.8,47,,SE,13,1022.2,18.0,56,,SSW,15,1018.9
,2021-12-6,12.8,27.4,0,,,N,46,08:24,21.3,42,,N,24,1014.1,26.5,40,,N,24,1010.0
,2021-12-7,15.0,16.0,0.6,,,SSW,33,11:16,15.4,75,,W,11,1012.4,15.6,62,,S,13,1014.5
,2021-12-8,10.7,17.3,2.0,,,S,43,15:07,15.5,53,,SSE,17,1018.1,16.6,48,,SSW,20,1017.7
,2021-12-9,12.2,17.7,1.8,,,SE,43,11:08,15.1,74,,SSE,13,1017.5,16.8,65,,SSE,19,1017.4
,2021-12-10,13.5,17.9,0,,,S,43,16:43,16.1,70,,SSE,11,1017.8,16.2,67,,SSW,20,1016.9
,2021-12-11,12.6,22.4,0,,,SE,35,18:54,16.7,65,,SE,13,1018.9,21.5,47,,SE,17,1016.8
,2021-12-12,10.4,28.7,0,,,ESE,28,18:27,16.3,63,,NE,6,1017.9,26.4,33,,ENE,9,1013.5
,2021-12-13,15.3,32.7,0,,,SSW,50,18:08,24.7,38,,N,22,1011.9,31.4,26,,NNW,11,1009.6
,2021-12-14,15.9,21.0,0,,,SSW,31,15:54,18.5,65,,S,7,1015.6,20.0,64,,SSW,17,1013.7
,2021-12-15,15.2,17.7,0,,,SSW,28,14:27,16.8,85,,SW,9,1013.4,16.7,72,,S,13,1014.9
,2021-12-16,12.8,19.9,0,,,SW,33,16:15,15.9,77,,SSW,13,1017.5,18.6,56,,SSW,17,1017.0
,2021-12-17,9.9,30.8,0,,,NNE,30,14:34,16.9,59,,N,7,1014.4,29.3,30,,SSW,7,1009.3
,2021-12-18,16.6,33.5,0,,,N,46,08:51,28.2,32,,N,15,1004.1,21.5,64,,S,22,1007.2
,2021-12-19,15.2,23.1,0,,,SW,65,13:47,18.5,82,,NNE,9,1001.8,15.4,82,,W,20,1004.5
,2021-12-20,12.2,28.6,1.8,,,NNW,39,07:26,16.7,50,,NW,15,1014.2,26.8,35,,NNW,15,1011.8
,2021-12-21,15.3,24.9,0,,,S,31,18:57,17.3,64,,WSW,9,1015.0,24.0,49,,SSW,9,1012.1
,2021-12-22,15.8,19.8,0,,,S,28,11:16,16.6,72,,S,11,1015.6,18.7,57,,SSW,15,1014.1
,2021-12-23,13.8,19.9,0,,,SSW,31,12:53,15.8,58,,SE,11,1015.0,18.6,56,,SSW,13,1014.7
,2021-12-24,11.9,26.4,0,,,SSW,26,21:26,17.7,62,,SSE,4,1015.2,23.0,55,,S,13,1012.3
,2021-12-25,16.9,21.7,0,,,SSW,39,16:42,17.8,70,,S,9,1016.8,20.5,60,,S,15,1015.7
,2021-12-26,15.1,18.8,0,,,S,39,18:35,15.6,66,,SSE,13,1020.3,18.1,54,,S,17,1020.1
,2021-12-27,13.9,23.3,0.2,,,ESE,43,19:01,15.6,64,,SSE,15,1022.7,22.0,39,,SE,19,1019.5
,2021-12-28,11.4,22.6,0,,,SSW,41,14:46,15.0,62,,N,7,1021.9,21.8,49,,SSW,15,1018.5
,2021-12-29,11.9,22.4,0,,,SSW,30,16:33,17.6,68,,W,6,1019.6,21.6,59,,SSW,9,1016.5
,2021-12-30,14.0,34.4,0,,,SSW,28,17:55,16.7,76,,NNE,7,1015.6,29.4,41,,WSW,7,1010.8
,2021-12-31,16.6,37.7,0,,,NNW,46,10:51,27.5,42,,N,9,1010.1,36.2,19,,NNW,19,1007.0
