"Daily Weather Observations for Melbourne (Olympic Park), Victoria for January 2022"
"Prepared at 16:01 UTC on Sunday  7 August 2022   IDCJDW3033.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,20.5,37.1,0,,,NNW,33,08:08,29.9,27,,N,19,1007.9,25.0,51,,SSW,13,1006.3
,2022-01-2,20.9,30.9,0,,,SSW,43,15:44,24.3,47,,S,4,1007.1,24.3,55,,SSW,20,1007.9
,2022-01-3,16.8,20.3,0,,,S,41,12:30,18.8,57,,SSE,11,1013.6,19.7,53,,SSW,19,1013.2
,2022-01-4,16.2,23.1,0,,,SSE,43,20:06,18.5,73,,S,9,1013.2,20.8,73,,SW,9,1012.1
,2022-01-5,18.5,29.3,0,,,NE,37,14:22,22.9,71,,SE,7,1009.6,28.1,51,,E,13,1007.6
,2022-01-6,18.3,30.2,0,,,NNW,39,13:53,22.9,62,,NNE,6,1010.2,23.1,73,,WNW,11,1007.6
,2022-01-7,20.1,25.8,1.4,,,WSW,28,12:30,23.6,59,,NNE,11,1008.1,23.5,83,,W,4,1007.1
,2022-01-8,17.1,19.7,24.8,,,SSW,28,13:14,17.3,98,,S,11,1013.0,18.8,79,,S,13,1014.0
,2022-01-9,16.1,21.9,0,,,SSW,30,16:34,16.8,69,,SE,6,1016.2,20.3,61,,SSW,13,1015.6
,2022-01-10,15.5,31.4,0.2,,,SSW,31,12:46,18.6,76,,NE,9,1017.9,28.3,57,,SSW,9,1016.2
,2022-01-11,18.5,29.7,0,,,SSW,35,14:06,21.4,69,,S,6,1020.7,24.8,64,,S,13,1019.6
,2022-01-12,18.6,30.4,0,,,SSE,35,15:40,22.4,65,,ESE,13,1021.5,29.2,45,,SE,13,1017.7
,2022-01-13,17.6,34.6,0,,,N,35,17:46,23.0,59,,NNE,6,1016.3,33.1,28,,NE,9,1009.9
,2022-01-14,20.8,32.8,0,,,NNE,35,14:08,23.7,78,, ,Calm,1005.6,30.4,44,,NNW,20,1001.7
,2022-01-15,18.8,24.2,6.0,,,SSW,30,17:08,19.7,70,,WSW,9,1004.4,23.3,66,,SSW,11,1005.6
,2022-01-16,18.3,31.9,0,,,S,24,14:10,20.1,60,,SE,4,1009.4,25.3,55,,SSW,13,1006.6
,2022-01-17,18.4,24.2,0,,,S,33,16:19,18.7,72,,W,7,1010.7,22.9,51,,SSW,13,1010.8
,2022-01-18,17.1,21.3,0,,,SSW,39,14:20,18.3,58,,SSE,9,1016.5,20.3,53,,S,17,1016.7
,2022-01-19,15.4,26.7,0,,,SE,52,16:10,21.1,59,,SE,11,1021.1,25.4,43,,SE,24,1021.3
,2022-01-20,12.9,30.4,0,,,ESE,31,23:26,18.8,57,,NNE,4,1027.7,27.1,39,,SSW,9,1024.9
,2022-01-21,17.1,29.6,0,,,NNW,33,06:39,22.6,43,,N,11,1028.1,28.3,42,,SSW,11,1023.9
,2022-01-22,17.7,32.3,0,,,SSE,35,17:57,24.3,45,,N,13,1023.2,30.7,35,,SW,13,1018.2
,2022-01-23,18.1,32.6,0,,,S,26,14:08,25.0,49,,N,9,1016.6,31.6,31,,S,13,1012.5
,2022-01-24,20.2,33.7,0,,,SE,31,17:40,25.3,52,,NNE,9,1011.4,32.3,36,,SSW,9,1007.3
,2022-01-25,20.1,31.4,0,,,S,30,13:05,25.2,58,,N,2,1009.0,27.4,60,,SSW,15,1007.2
,2022-01-26,19.6,36.0,0,,,NW,46,19:32,24.0,67,, ,Calm,1010.0,35.2,35,,WSW,6,1006.1
,2022-01-27,21.2,32.8,7.0,,,NNW,52,15:24,21.8,93,,N,17,1009.5,30.9,47,,N,22,1006.4
,2022-01-28,21.7,32.8,1.6,,,S,43,13:04,27.9,59,,N,15,1008.8,21.1,100,,S,17,1010.7
,2022-01-29,17.5,21.8,38.6,,,S,30,14:12,18.8,96,,SSE,7,1017.5,21.0,70,,S,17,1017.0
,2022-01-30,18.7,29.2,0,,,SE,30,17:26,21.3,76,,N,4,1015.4,25.8,64,,S,13,1012.3
,2022-01-31,20.1,34.0,0,,,NW,22,01:52,22.7,78,,SSE,6,1009.2,31.4,54,,WNW,6,1003.8
