"Daily Weather Observations for Melbourne (Olympic Park), Victoria for April 2022"
"Prepared at 13:01 UTC on Thursday 18 August 2022   IDCJDW3033.202204"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-04-1,12.8,19.1,0,,,SSE,44,15:33,14.2,66,,SE,13,1028.5,18.4,51,,SSE,17,1026.1
,2022-04-2,13.4,18.2,0.4,,,SE,37,11:21,15.7,72,,SSE,11,1023.5,17.6,71,,SSE,13,1020.3
,2022-04-3,14.5,17.8,1.2,,,SSE,24,00:05,15.6,86,,S,6,1017.3,17.0,84,,SSW,9,1013.7
,2022-04-4,14.9,18.4,1.8,,,WSW,22,10:08,17.1,73,,SW,7,1014.8,17.9,62,,SW,6,1014.4
,2022-04-5,11.9,19.9,0,,,SSW,24,16:27,13.6,89,,N,13,1018.7,19.3,52,,SSW,9,1017.1
,2022-04-6,13.6,22.3,0,,,SE,24,19:30,16.6,78,,SSE,9,1019.3,21.1,57,,SSW,6,1018.0
,2022-04-7,11.3,22.8,0,,,SE,35,14:30,16.9,78,,NNE,6,1023.8,22.1,55,,SE,19,1021.5
,2022-04-8,12.3,23.4,0,,,SSW,17,14:03,17.6,73,,ENE,2,1025.0,23.0,48,,SSW,7,1021.0
,2022-04-9,16.3,25.1,0,,,N,35,11:32,20.1,69,,N,6,1021.9,23.8,54,,NNE,15,1018.6
,2022-04-10,16.7,26.7,0,,,N,43,11:40,20.6,68,,N,20,1018.7,26.5,45,,NNW,17,1015.6
,2022-04-11,14.2,18.8,1.4,,,S,30,16:36,14.8,81,,SSE,7,1022.1,18.1,52,,SSW,11,1021.7
,2022-04-12,13.0,17.7,0,,,S,30,14:48,14.7,64,,ESE,9,1024.9,16.6,48,,SSW,11,1023.4
,2022-04-13,11.4,20.0,0,,,SSW,31,13:48,16.8,69,,S,7,1025.8,18.9,69,,SSW,13,1023.6
,2022-04-14,10.2,24.7,0,,,N,37,12:29,16.1,71,,NNE,6,1025.7,23.7,40,,N,13,1022.0
,2022-04-15,13.9,26.2,0,,,N,33,09:13,20.0,54,,N,19,1021.6,25.6,41,,N,15,1018.6
,2022-04-16,15.5,28.9,0,,,NNE,24,11:05,18.2,65,,NNE,9,1020.8,27.7,33,,NNW,11,1016.7
,2022-04-17,15.7,28.0,0,,,NNW,54,11:44,19.6,51,,N,9,1015.3,27.6,31,,NNW,22,1010.4
,2022-04-18,16.1,17.5,13.4,,,NE,26,11:56,16.1,95,,SW,4,1015.5,17.3,88,,NE,4,1014.5
,2022-04-19,15.0,15.8,13.2,,,SSW,35,14:01,15.5,100,,WSW,4,1012.9,13.5,100,,SSW,15,1012.2
,2022-04-20,9.0,19.9,9.0,,,S,28,15:26,13.4,76,,N,9,1017.1,19.4,55,,WNW,7,1016.8
,2022-04-21,12.7,17.1,0.6,,,SSE,33,15:36,13.9,88,,S,7,1026.6,16.3,49,,S,13,1027.1
,2022-04-22,7.7,18.2,0.2,,,S,31,11:49,14.2,51,,SE,7,1032.1,16.6,50,,SSW,13,1030.5
,2022-04-23,7.6,17.8,0,,,SSW,20,15:43,11.6,75,,NE,4,1033.0,17.1,66,,SSW,9,1031.1
,2022-04-24,8.7,17.6,0,,,SSW,20,12:48,13.2,79,, ,Calm,1034.6,17.0,63,,SSW,11,1030.5
,2022-04-25,7.7,24.2,0,,,NNW,22,14:14,10.7,86,,NNE,7,1029.5,23.5,39,,NNE,9,1024.3
,2022-04-26,10.0,23.1,0,,,NNE,20,12:02,13.8,79,,NNE,13,1023.1,22.8,45,,E,4,1018.0
,2022-04-27,13.8,22.0,0,,,NNE,17,13:01,16.4,75,,NNE,9,1017.8,20.8,54,,NE,9,1014.3
,2022-04-28,16.3,22.4,0,,,N,35,14:01,18.0,79,,NE,2,1015.7,20.9,65,,N,20,1014.1
,2022-04-29,17.7,20.8,0,,,N,43,11:24,19.4,73,,NNW,17,1017.8,20.6,68,,N,17,1014.5
,2022-04-30,11.6,17.9,31.4,,,WSW,39,02:36,13.9,63,,WNW,11,1018.4,17.2,48,,WSW,13,1018.5
