"Daily Weather Observations for Melbourne (Olympic Park), Victoria for May 2022"
"Prepared at 13:01 UTC on Wednesday 17 August 2022   IDCJDW3033.202205"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-05-1,11.7,19.3,0,,,NNW,31,16:01,13.7,71,,NNW,13,1023.0,18.9,58,,NNW,13,1020.2
,2022-05-2,13.6,22.1,0,,,N,30,12:10,16.3,68,,NNW,11,1022.5,21.2,47,,NNW,11,1020.1
,2022-05-3,11.9,20.7,0,,,N,46,15:43,15.3,70,,N,11,1019.1,19.9,48,,N,24,1014.0
,2022-05-4,13.3,16.4,0,,,N,24,02:25,14.1,65,,WSW,6,1014.2,15.5,59,,S,6,1013.2
,2022-05-5,6.9,14.1,0.4,,,SSE,20,12:12,10.5,66,,N,6,1017.5,13.9,56,,S,11,1015.8
,2022-05-6,5.3,15.2,0,,,NW,37,17:25,9.1,70,,N,11,1017.5,14.2,41,,WNW,9,1015.1
,2022-05-7,9.1,15.3,1.6,,,NW,43,12:42,11.6,71,,NNW,13,1017.9,14.7,67,,NW,15,1017.6
,2022-05-8,11.4,16.3,0,,,SSW,22,11:36,12.6,75,,W,7,1026.0,14.7,69,,S,13,1026.1
,2022-05-9,7.9,16.6,0.6,,,SSW,17,14:23,10.3,97,,NNE,7,1030.4,15.9,64,,SSW,7,1028.5
,2022-05-10,6.1,18.4,0.2,,,SSW,15,13:55,8.8,83,,NE,7,1032.1,17.1,65,,SW,6,1028.0
,2022-05-11,8.7,17.5,0,,,N,11,08:59,12.5,92,,N,7,1028.4,16.8,78,,SW,2,1023.9
,2022-05-12,12.5,18.1,0,,,SSW,17,15:06,14.6,100,, ,Calm,1020.3,17.2,80,,SSW,7,1015.9
,2022-05-13,14.4,17.9,0.8,,,NNE,15,11:44,15.0,100,, ,Calm,1017.3,16.9,94,,S,4,1013.8
,2022-05-14,14.9,18.5,0,,,N,39,14:55,17.3,78,,NNW,17,1012.6,17.5,75,,N,20,1009.6
,2022-05-15,14.3,21.8,2.0,,,N,46,15:19,16.5,79,,N,13,1012.3,20.3,45,,NNW,19,1007.7
,2022-05-16,11.6,15.9,1.4,,,N,30,11:03,14.3,71,,N,11,1013.6,13.9,74,,WNW,9,1012.2
,2022-05-17,9.1,15.6,3.2,,,NNW,33,13:06,11.6,65,,NNW,17,1019.1,14.8,47,,N,7,1017.3
,2022-05-18,10.8,15.4,0,,,WSW,39,15:12,12.5,64,,NW,9,1020.1,14.5,54,,WSW,9,1020.6
,2022-05-19,8.9,14.7,0.2,,,S,26,14:39,10.5,75,,SSW,6,1029.4,14.3,53,,S,11,1029.7
,2022-05-20,10.4,15.8,0,,,SE,20,11:06,13.4,61,,S,6,1034.6,14.3,64,,SSW,11,1033.0
,2022-05-21,4.6,14.9,0,,,S,15,14:20,6.9,83,,NE,9,1035.4,14.1,69,,SW,7,1032.0
,2022-05-22,6.8,14.3,0,,,W,17,13:09,10.2,87,,SW,6,1031.7,12.8,72,,SSW,7,1029.4
,2022-05-23,6.3,17.1,0,,,NNE,15,08:00,8.8,96,,NNE,9,1030.6,15.2,74,,SSW,9,1027.8
,2022-05-24,6.0,20.8,0,,,ENE,17,13:30,8.6,93,,NNE,7,1029.4,20.1,44,,NNE,9,1024.3
,2022-05-25,7.4,19.6,0,,,NNE,22,13:54,9.4,76,,NNE,9,1023.4,18.7,51,,ENE,9,1019.2
,2022-05-26,9.4,16.3,0.2,,,N,31,10:25,14.9,79,,N,7,1016.8,15.1,90,,N,15,1015.6
,2022-05-27,11.8,16.6,3.4,,,W,15,03:42,13.0,91,,NNE,4,1019.7,15.7,71,,SSW,6,1016.4
,2022-05-28,7.4,14.6,0,,,NE,15,22:36,9.6,95,,NE,4,1015.7,13.6,63,,S,4,1012.9
,2022-05-29,6.3,16.5,0,,,NNW,26,14:54,8.5,82,,NNE,9,1010.7,14.1,65,,N,15,1006.6
,2022-05-30,6.1,11.7,0,,,N,20,00:05,9.6,73,,NNE,2,994.2,10.3,91,,NE,7,989.1
,2022-05-31,7.6,11.4,10.2,,,WSW,37,12:01,9.4,69,,NW,17,994.6,9.4,65,,NW,11,997.1
