"Daily Weather Observations for Melbourne (Olympic Park), Victoria for June 2022"
"Prepared at 16:01 UTC on Tuesday 16 August 2022   IDCJDW3033.202206"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-06-1,6.1,11.9,4.4,,,WSW,43,09:24,8.3,92,,W,13,1007.7,11.1,94,,SSW,11,1013.5
,2022-06-2,4.7,13.0,10.8,,,NNW,28,15:44,7.8,76,,N,6,1021.9,12.1,53,,N,15,1018.9
,2022-06-3,6.1,12.6,0,,,NNW,39,12:25,9.0,73,,N,13,1015.1,12.0,59,,N,19,1010.0
,2022-06-4,8.9,14.9,0,,,N,44,12:28,10.7,76,,N,15,1008.8,14.1,62,,N,19,1005.7
,2022-06-5,10.6,13.7,0.2,,,NNW,56,03:33,11.2,73,,N,13,1001.1,11.5,60,,NNW,22,997.4
,2022-06-6,8.2,13.3,2.0,,,NW,41,13:05,9.4,72,,NW,11,1003.8,9.6,70,,W,9,1005.8
,2022-06-7,7.2,11.9,6.4,,,SW,35,10:30,7.8,90,,WNW,9,1009.7,10.9,61,,WSW,13,1011.4
,2022-06-8,7.1,12.8,3.6,,,W,30,23:12,9.2,78,,W,9,1018.4,12.1,66,,WSW,9,1017.5
,2022-06-9,9.0,13.4,0,,,WSW,41,11:50,10.5,77,,WNW,11,1016.2,11.7,90,,SSW,6,1015.5
,2022-06-10,10.1,14.1,0.4,,,NW,37,09:04,11.4,80,,WNW,11,1017.8,12.5,73,,SSW,13,1017.6
,2022-06-11,9.2,13.0,0,,,WSW,37,21:40,10.8,63,,W,9,1019.8,12.8,64,,WSW,17,1016.8
,2022-06-12,9.8,13.3,0.2,,,W,31,02:26,10.6,85,,W,9,1018.6,12.3,74,,SSW,13,1018.0
,2022-06-13,8.9,13.0,4.0,,,WSW,15,03:10,9.5,99,,WSW,6,1023.8,12.4,73,,SSW,7,1022.4
,2022-06-14,6.4,13.5,0.2,,,N,50,21:56,9.5,76,,NNE,7,1022.4,12.5,56,,N,20,1018.8
,2022-06-15,9.4,13.8,0,,,N,54,11:09,11.4,64,,N,20,1014.0,11.8,70,,N,28,1012.1
,2022-06-16,10.6,14.4,0.4,,,N,26,00:16,13.8,81,,WNW,11,1014.9,12.7,100,,SSW,11,1017.0
,2022-06-17,10.5,13.8,3.6,,,S,20,13:32,10.7,100,,WSW,6,1023.8,13.4,81,,SSW,7,1023.3
,2022-06-18,8.0,15.7,0.2,,,N,15,07:19,8.8,93,,NE,9,1028.1,14.6,73,,SSW,7,1026.4
,2022-06-19,5.1,16.2,0.2,,,N,30,13:51,6.7,94,,NNE,9,1027.3,14.6,61,,N,13,1024.3
,2022-06-20,6.7,17.7,0,,,N,44,15:10,11.7,77,, ,Calm,1020.9,16.8,57,,N,24,1016.5
,2022-06-21,11.0,14.9,3.8,,,N,28,01:16,11.9,79,,NW,7,1018.5,12.9,67,,WSW,9,1019.1
,2022-06-22,7.6,15.8,1.2,,,NNW,26,18:32,11.0,82,,N,11,1024.0,15.5,58,,NW,9,1023.1
,2022-06-23,10.9,16.4,0.2,,,NNW,44,23:22,13.2,81,,N,11,1021.8,15.7,65,,N,22,1017.1
,2022-06-24,11.7,17.3,4.8,,,NNW,48,00:17,13.0,82,,NW,6,1014.9,13.3,71,,SW,11,1015.4
,2022-06-25,9.4,16.2,0.2,,,N,39,12:25,11.7,71,,N,11,1019.6,15.8,54,,NNW,19,1018.9
,2022-06-26,10.7,13.1,0,,,N,26,00:12,11.5,75,,NNW,11,1023.2,11.7,79,,SSW,2,1023.8
,2022-06-27,6.2,12.8,5.4,,,WSW,22,01:55,7.4,85,,NNE,9,1032.6,12.0,70,,SSW,2,1032.4
,2022-06-28,6.0,13.4,0.2,,,NNW,39,16:18,6.7,91,,NNE,9,1032.1,13.1,54,,N,15,1027.7
,2022-06-29,6.6,11.7,0,,,N,44,13:40,9.5,65,,NNW,15,1025.0,11.3,56,,N,17,1021.3
,2022-06-30,4.3,14.1,0,,,S,22,14:41,6.8,88,,ENE,6,1025.3,11.5,64,,SSW,13,1024.9
