,date,total_people
0,2022-07-01,435062
1,2022-07-02,501883
2,2022-07-03,386038
3,2022-07-04,356396
4,2022-07-05,370637
5,2022-07-06,423220
6,2022-07-07,390030
7,2022-07-08,379723
8,2022-07-09,458521
9,2022-07-10,372983
10,2022-07-11,295108
11,2022-07-12,284010
12,2022-07-13,342126
13,2022-07-14,367252
14,2022-07-15,459686
15,2022-07-16,471033
16,2022-07-17,353027
17,2022-07-18,322024
18,2022-07-19,394150
19,2022-07-20,386373
20,2022-07-21,358685
21,2022-07-22,416838
22,2022-07-23,371336
23,2022-07-24,406977
24,2022-07-25,274106
25,2022-07-26,316316
26,2022-07-27,340569
27,2022-07-28,334858
28,2022-07-29,405511
29,2022-07-30,462115
30,2022-07-31,327383
0,2022-06-01,266898
1,2022-06-02,355834
2,2022-06-03,425071
3,2022-06-04,502668
4,2022-06-05,350874
5,2022-06-06,289301
6,2022-06-07,297106
7,2022-06-08,356351
8,2022-06-09,355992
9,2022-06-10,457746
10,2022-06-11,535643
11,2022-06-12,481918
12,2022-06-13,348091
13,2022-06-14,321941
14,2022-06-15,341787
15,2022-06-16,349039
16,2022-06-17,449618
17,2022-06-18,507418
18,2022-06-19,394259
19,2022-06-20,327116
20,2022-06-21,349916
21,2022-06-22,394408
22,2022-06-23,397567
23,2022-06-24,453301
24,2022-06-25,554399
25,2022-06-26,347684
26,2022-06-27,357787
27,2022-06-28,389162
28,2022-06-29,440722
29,2022-06-30,444681
0,2022-05-01,396405
1,2022-05-02,337870
2,2022-05-03,365384
3,2022-05-04,356204
4,2022-05-05,388036
5,2022-05-06,401208
6,2022-05-07,465876
7,2022-05-08,371252
8,2022-05-09,316045
9,2022-05-10,366277
10,2022-05-11,358866
11,2022-05-12,380344
12,2022-05-13,468219
13,2022-05-14,552349
14,2022-05-15,419038
15,2022-05-16,309336
16,2022-05-17,368089
17,2022-05-18,369180
18,2022-05-19,384217
19,2022-05-20,451122
20,2022-05-21,511973
21,2022-05-22,368910
22,2022-05-23,316774
23,2022-05-24,366155
24,2022-05-25,362992
25,2022-05-26,361682
26,2022-05-27,433927
27,2022-05-28,512767
28,2022-05-29,393216
29,2022-05-30,246741
30,2022-05-31,292125
0,2022-04-01,437674
1,2022-04-02,481195
2,2022-04-03,400726
3,2022-04-04,317327
4,2022-04-05,372479
5,2022-04-06,398451
6,2022-04-07,435683
7,2022-04-08,526164
8,2022-04-09,615940
9,2022-04-10,499763
10,2022-04-11,414494
11,2022-04-12,444829
12,2022-04-13,450585
13,2022-04-14,479107
14,2022-04-15,439553
15,2022-04-16,570005
16,2022-04-17,443602
17,2022-04-18,316898
18,2022-04-19,330994
19,2022-04-20,426978
20,2022-04-21,445103
21,2022-04-22,505425
22,2022-04-23,563433
23,2022-04-24,489266
24,2022-04-25,396577
25,2022-04-26,326627
26,2022-04-27,331293
27,2022-04-28,367319
28,2022-04-29,356465
29,2022-04-30,467242
0,2022-03-01,272364
1,2022-03-02,300513
2,2022-03-03,311522
3,2022-03-04,337901
4,2022-03-05,347792
5,2022-03-06,273770
6,2022-03-07,283267
7,2022-03-08,313678
8,2022-03-09,317700
9,2022-03-10,331910
10,2022-03-11,378195
11,2022-03-12,488499
12,2022-03-13,461228
