,date,street,people_count
210,2022-07-31,Bourke Street Mall (North),15434
216,2022-07-31,Spencer St-Collins St (North),12349
215,2022-07-31,Southern Cross Station,1661
214,2022-07-31,QV Market-Peel St,3203
213,2022-07-31,Melbourne Central,23363
212,2022-07-31,Collins Place (North),1410
211,2022-07-31,Chinatown-Swanston St (North),11123
209,2022-07-30,Spencer St-Collins St (North),15937
208,2022-07-30,Southern Cross Station,2540
207,2022-07-30,QV Market-Peel St,4457
206,2022-07-30,Melbourne Central,31828
205,2022-07-30,Collins Place (North),2248
204,2022-07-30,Chinatown-Swanston St (North),15223
203,2022-07-30,Bourke Street Mall (North),21160
198,2022-07-29,Collins Place (North),5204
197,2022-07-29,Chinatown-Swanston St (North),12257
196,2022-07-29,Bourke Street Mall (North),16796
199,2022-07-29,Melbourne Central,28332
202,2022-07-29,Spencer St-Collins St (North),20037
200,2022-07-29,QV Market-Peel St,3273
201,2022-07-29,Southern Cross Station,7028
195,2022-07-28,Spencer St-Collins St (North),19435
194,2022-07-28,Southern Cross Station,8941
193,2022-07-28,QV Market-Peel St,2679
192,2022-07-28,Melbourne Central,21934
191,2022-07-28,Collins Place (North),5549
190,2022-07-28,Chinatown-Swanston St (North),8642
189,2022-07-28,Bourke Street Mall (North),15550
184,2022-07-27,Collins Place (North),5298
182,2022-07-27,Bourke Street Mall (North),14540
183,2022-07-27,Chinatown-Swanston St (North),8122
188,2022-07-27,Spencer St-Collins St (North),19160
185,2022-07-27,Melbourne Central,22192
186,2022-07-27,QV Market-Peel St,3206
187,2022-07-27,Southern Cross Station,9103
177,2022-07-26,Collins Place (North),5744
175,2022-07-26,Bourke Street Mall (North),14101
176,2022-07-26,Chinatown-Swanston St (North),8194
181,2022-07-26,Spencer St-Collins St (North),18576
178,2022-07-26,Melbourne Central,21048
180,2022-07-26,Southern Cross Station,9268
179,2022-07-26,QV Market-Peel St,2418
174,2022-07-25,Spencer St-Collins St (North),17335
173,2022-07-25,Southern Cross Station,7236
172,2022-07-25,QV Market-Peel St,1645
171,2022-07-25,Melbourne Central,19601
170,2022-07-25,Collins Place (North),4344
