,Product code,Bureau of Meteorology station number,Year,Month,Day,max_temp,Days of accumulation of maximum temperature,Quality,date
2922,IDCJAC0010,86338,2021,1,1,29.9,1.0,N,2021-01-01
2923,IDCJAC0010,86338,2021,1,2,29.0,1.0,N,2021-01-02
2924,IDCJAC0010,86338,2021,1,3,26.2,1.0,N,2021-01-03
2925,IDCJAC0010,86338,2021,1,4,18.6,1.0,N,2021-01-04
2926,IDCJAC0010,86338,2021,1,5,19.1,1.0,N,2021-01-05
2927,IDCJAC0010,86338,2021,1,6,19.2,1.0,N,2021-01-06
2928,IDCJAC0010,86338,2021,1,7,25.7,1.0,N,2021-01-07
2929,IDCJAC0010,86338,2021,1,8,24.3,1.0,N,2021-01-08
2930,IDCJAC0010,86338,2021,1,9,27.9,1.0,N,2021-01-09
2931,IDCJAC0010,86338,2021,1,10,33.5,1.0,N,2021-01-10
2932,IDCJAC0010,86338,2021,1,11,36.7,1.0,N,2021-01-11
2933,IDCJAC0010,86338,2021,1,12,21.6,1.0,N,2021-01-12
2934,IDCJAC0010,86338,2021,1,13,27.0,1.0,N,2021-01-13
2935,IDCJAC0010,86338,2021,1,14,22.2,1.0,N,2021-01-14
2936,IDCJAC0010,86338,2021,1,15,20.6,1.0,Y,2021-01-15
2937,IDCJAC0010,86338,2021,1,16,20.1,1.0,N,2021-01-16
2938,IDCJAC0010,86338,2021,1,17,20.2,1.0,N,2021-01-17
2939,IDCJAC0010,86338,2021,1,18,22.6,1.0,N,2021-01-18
2940,IDCJAC0010,86338,2021,1,19,18.9,1.0,N,2021-01-19
2941,IDCJAC0010,86338,2021,1,20,22.6,1.0,N,2021-01-20
2942,IDCJAC0010,86338,2021,1,21,31.6,1.0,N,2021-01-21
2943,IDCJAC0010,86338,2021,1,22,25.0,1.0,N,2021-01-22
2944,IDCJAC0010,86338,2021,1,23,26.7,1.0,N,2021-01-23
2945,IDCJAC0010,86338,2021,1,24,37.8,1.0,N,2021-01-24
2946,IDCJAC0010,86338,2021,1,25,39.2,1.0,N,2021-01-25
2947,IDCJAC0010,86338,2021,1,26,19.3,1.0,N,2021-01-26
2948,IDCJAC0010,86338,2021,1,27,25.8,1.0,N,2021-01-27
2949,IDCJAC0010,86338,2021,1,28,25.5,1.0,N,2021-01-28
2950,IDCJAC0010,86338,2021,1,29,21.6,1.0,N,2021-01-29
2951,IDCJAC0010,86338,2021,1,30,21.9,1.0,N,2021-01-30
2952,IDCJAC0010,86338,2021,1,31,21.8,1.0,N,2021-01-31
2953,IDCJAC0010,86338,2021,2,1,20.3,1.0,N,2021-02-01
2954,IDCJAC0010,86338,2021,2,2,19.3,1.0,N,2021-02-02
2955,IDCJAC0010,86338,2021,2,3,25.9,1.0,N,2021-02-03
2956,IDCJAC0010,86338,2021,2,4,30.6,1.0,N,2021-02-04
2957,IDCJAC0010,86338,2021,2,5,29.8,1.0,N,2021-02-05
2958,IDCJAC0010,86338,2021,2,6,25.4,1.0,N,2021-02-06
2959,IDCJAC0010,86338,2021,2,7,19.2,1.0,Y,2021-02-07
2960,IDCJAC0010,86338,2021,2,8,19.2,1.0,N,2021-02-08
2961,IDCJAC0010,86338,2021,2,9,25.2,1.0,N,2021-02-09
2962,IDCJAC0010,86338,2021,2,10,31.5,1.0,N,2021-02-10
2963,IDCJAC0010,86338,2021,2,11,32.8,1.0,N,2021-02-11
2964,IDCJAC0010,86338,2021,2,12,23.3,1.0,N,2021-02-12
2965,IDCJAC0010,86338,2021,2,13,20.8,1.0,N,2021-02-13
2966,IDCJAC0010,86338,2021,2,14,20.0,1.0,N,2021-02-14
2967,IDCJAC0010,86338,2021,2,15,24.6,1.0,N,2021-02-15
2968,IDCJAC0010,86338,2021,2,16,31.3,1.0,N,2021-02-16
2969,IDCJAC0010,86338,2021,2,17,28.8,1.0,N,2021-02-17
2970,IDCJAC0010,86338,2021,2,18,31.8,1.0,N,2021-02-18
2971,IDCJAC0010,86338,2021,2,19,32.6,1.0,N,2021-02-19
2972,IDCJAC0010,86338,2021,2,20,23.8,1.0,N,2021-02-20
2973,IDCJAC0010,86338,2021,2,21,20.6,1.0,N,2021-02-21
2974,IDCJAC0010,86338,2021,2,22,21.8,1.0,N,2021-02-22
2975,IDCJAC0010,86338,2021,2,23,19.2,1.0,N,2021-02-23
2976,IDCJAC0010,86338,2021,2,24,20.2,1.0,N,2021-02-24
2977,IDCJAC0010,86338,2021,2,25,24.3,1.0,N,2021-02-25
2978,IDCJAC0010,86338,2021,2,26,19.7,1.0,N,2021-02-26
2979,IDCJAC0010,86338,2021,2,27,18.6,1.0,N,2021-02-27
2980,IDCJAC0010,86338,2021,2,28,26.7,1.0,N,2021-02-28
2981,IDCJAC0010,86338,2021,3,1,21.7,1.0,Y,2021-03-01
2982,IDCJAC0010,86338,2021,3,2,18.1,1.0,Y,2021-03-02
2983,IDCJAC0010,86338,2021,3,3,17.7,1.0,Y,2021-03-03
